customer_idx,risk_segment,y_true,p_churn_original,monthly_charges,tenure,is_senior_alone,has_support,internet_fiber,contract_m2m,payment_echeck,discount_id,discount_label,p_churn_after,retention_lift,cost_annual,revenue_saved,roi
0,High Risk,1,0.758526623249054,96.05,18.0,0,1,1,1,1,contract_2y,Jahresvertrag 2J (-15%),0.24056226015090942,0.5179643630981445,345.78,1194.0114498138428,2.4530957539876304
1,Low Risk,0,0.005308898165822029,19.05,8.0,0,0,0,0,0,none,Kein pos. ROI verfuegbar,0.005308898165822029,0.0,0.0,0.0,0.0
2,High Risk,1,0.8892173767089844,98.55,20.0,1,0,1,1,1,contract_2y,Jahresvertrag 2J (-15%),0.46833863854408264,0.42087873816490173,354.78,995.4623915076255,1.8058582544326782
3,Low Risk,0,0.0322510227560997,19.7,20.0,0,0,0,0,0,none,Kein pos. ROI verfuegbar,0.0322510227560997,0.0,0.0,0.0,0.0
4,Low Risk,0,0.009376436471939087,19.6,40.0,0,0,0,0,0,none,Kein pos. ROI verfuegbar,0.009376436471939087,0.0,0.0,0.0,0.0
5,Low Risk,0,0.09063533693552017,107.4,72.0,1,1,1,0,0,none,Kein pos. ROI verfuegbar,0.09063533693552017,0.0,0.0,0.0,0.0
6,Low Risk,0,0.04595202952623367,74.35,57.0,0,1,0,0,0,none,Kein pos. ROI verfuegbar,0.04595202952623367,0.0,0.0,0.0,0.0
7,Low Risk,1,0.062453124672174454,19.35,5.0,0,0,0,1,0,none,Kein pos. ROI verfuegbar,0.062453124672174454,0.0,0.0,0.0,0.0
8,Low Risk,1,0.1438770443201065,19.4,15.0,0,0,0,1,0,none,Kein pos. ROI verfuegbar,0.1438770443201065,0.0,0.0,0.0,0.0
9,Low Risk,0,0.02166265808045864,19.75,66.0,0,0,0,0,0,none,Kein pos. ROI verfuegbar,0.02166265808045864,0.0,0.0,0.0,0.0
10,Low Risk,0,0.12064945697784424,92.05,62.0,0,1,1,0,1,none,Kein pos. ROI verfuegbar,0.12064945697784424,0.0,0.0,0.0,0.0
11,High Risk,0,0.769081711769104,69.6,3.0,0,0,1,1,0,contract_2y,Jahresvertrag 2J (-15%),0.17079171538352966,0.5982899963855743,250.56,999.3836099624633,2.988599975903828
