customer_idx,risk_segment,y_true,p_churn_original,monthly_charges,tenure,is_senior_alone,has_support,internet_fiber,contract_m2m,payment_echeck,discount_id,discount_label,p_churn_after,retention_lift,cost_annual,expected_cost,revenue_saved,roi
0,High Risk,1,0.758526623249054,96.05,18.0,0,1,1,1,1,contract_2y,Jahresvertrag 2J (-15%),0.24056226015090942,0.5179643630981445,345.78,153.73399999999998,358.20343494415283,1.3300209123821203
1,Low Risk,0,0.005308898165822029,19.05,8.0,0,0,0,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.005308898165822029,0.0,0.0,0.0,0.0,0.0
2,High Risk,1,0.8892173767089844,98.55,20.0,1,0,1,1,1,contract_2y,Jahresvertrag 2J (-15%),0.46833863854408264,0.42087873816490173,354.78,156.43399999999997,298.63871745228766,0.9090397065362243
3,Low Risk,0,0.0322510227560997,19.7,20.0,0,0,0,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.0322510227560997,0.0,0.0,0.0,0.0,0.0
4,Low Risk,0,0.009376436471939087,19.6,40.0,0,0,0,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.009376436471939087,0.0,0.0,0.0,0.0,0.0
5,Low Risk,0,0.09063533693552017,107.4,72.0,1,1,1,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.09063533693552017,0.0,0.0,0.0,0.0,0.0
6,Low Risk,0,0.04595202952623367,74.35,57.0,0,1,0,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.04595202952623367,0.0,0.0,0.0,0.0,0.0
7,Low Risk,1,0.062453124672174454,19.35,5.0,0,0,0,1,0,below_threshold,Kein Angebot (Niedrigrisiko),0.062453124672174454,0.0,0.0,0.0,0.0,0.0
8,Low Risk,1,0.1438770443201065,19.4,15.0,0,0,0,1,0,below_threshold,Kein Angebot (Niedrigrisiko),0.1438770443201065,0.0,0.0,0.0,0.0,0.0
9,Low Risk,0,0.02166265808045864,19.75,66.0,0,0,0,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.02166265808045864,0.0,0.0,0.0,0.0,0.0
10,Low Risk,0,0.12064945697784424,92.05,62.0,0,1,1,0,1,below_threshold,Kein Angebot (Niedrigrisiko),0.12064945697784424,0.0,0.0,0.0,0.0,0.0
11,High Risk,0,0.769081711769104,69.6,3.0,0,0,1,1,0,contract_2y,Jahresvertrag 2J (-15%),0.17079171538352966,0.5982899963855743,250.56,125.16799999999999,299.815082988739,1.3953013788567286
12,Low Risk,1,0.2573135793209076,55.65,24.0,0,1,0,1,0,below_threshold,Kein Angebot (Niedrigrisiko),0.2573135793209076,0.0,0.0,0.0,0.0,0.0
13,Low Risk,0,0.17684675753116608,79.2,60.0,0,0,1,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.17684675753116608,0.0,0.0,0.0,0.0,0.0
14,Medium Risk,1,0.6102388501167297,69.35,3.0,0,1,0,1,1,contract_2y,Jahresvertrag 2J (-15%),0.14733090996742249,0.46290794014930725,249.65999999999997,74.89799999999998,231.13919267535204,2.0860529343287153
15,High Risk,1,0.7084972858428955,74.95,23.0,0,0,1,1,1,contract_2y,Jahresvertrag 2J (-15%),0.1912786066532135,0.517218679189682,269.82,130.946,279.11188803792004,1.131503734653369
16,Low Risk,0,0.012335333973169327,25.1,72.0,1,0,0,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.012335333973169327,0.0,0.0,0.0,0.0,0.0
17,Low Risk,0,0.03378552198410034,19.2,25.0,0,0,0,1,0,below_threshold,Kein Angebot (Niedrigrisiko),0.03378552198410034,0.0,0.0,0.0,0.0,0.0
18,Medium Risk,1,0.6308415532112122,95.05,50.0,0,0,1,1,1,contract_1y,Jahresvertrag 1J (-10%),0.343138188123703,0.28770336508750916,228.12,68.43599999999999,196.89267493128773,1.8770336508750916
19,Low Risk,0,0.009871984831988811,19.75,72.0,0,0,0,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.009871984831988811,0.0,0.0,0.0,0.0,0.0
20,Low Risk,0,0.058597683906555176,40.55,6.0,0,1,0,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.058597683906555176,0.0,0.0,0.0,0.0,0.0
21,High Risk,1,0.8685969710350037,74.4,3.0,0,0,1,1,1,contract_2y,Jahresvertrag 2J (-15%),0.3258167505264282,0.5427802205085754,267.84000000000003,130.352,290.7565085220337,1.2305488870292263
22,Low Risk,1,0.15101630985736847,19.85,2.0,0,0,0,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.15101630985736847,0.0,0.0,0.0,0.0,0.0
23,Low Risk,0,0.07028552889823914,110.9,72.0,0,1,1,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.07028552889823914,0.0,0.0,0.0,0.0,0.0
24,Medium Risk,0,0.5329208970069885,95.5,35.0,0,1,1,1,1,contract_2y,Jahresvertrag 2J (-15%),0.14522910118103027,0.38769179582595825,343.79999999999995,103.13999999999999,266.57687880992887,1.5846119721730552
25,Low Risk,0,0.018353719264268875,23.65,62.0,0,0,0,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.018353719264268875,0.0,0.0,0.0,0.0,0.0
26,Low Risk,0,0.018763748928904533,20.2,29.0,0,0,0,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.018763748928904533,0.0,0.0,0.0,0.0,0.0
27,High Risk,0,0.8758997917175293,87.1,8.0,1,0,1,1,1,contract_2y,Jahresvertrag 2J (-15%),0.3771262764930725,0.4987735152244568,313.56,144.06799999999998,312.7908468675613,1.1711334013629768
